genes,Synonym
SYNE4,"['Nesprin-4', 'FLJ36445', 'C19orf46', 'Nesp4', 'DFNB76']"
CCAR2,"['KIAA1967', 'DBC-1', 'NET35', 'DBC1']"
EVC2,['LBN']
RASSF1,"['RDA32', 'REH3P21', 'NORE2A', '123F2']"
IPO7,"['Imp7', 'RANBP7']"
UBR7,['C14orf130']
MSH4,[nan]
EDF1,"['CFAP280', 'EDF-1']"
EPHA10,"['FLJ33655', 'FLJ16103']"
HMCN1,"['FIBL-6', 'ARMD1', 'FBLN6', 'FIBL6']"
ATP2A1,"['ATP2A', 'SERCA1']"
TRIM11,"['BIA1', 'RNF92']"
LRRTM1,['FLJ32082']
RRAD,"['REM3', 'RAD']"
CNTRL,"['CEP110', 'CEP1']"
AKR7A2,['AFAR']
CLCN7,"['PPP1R63', 'CLC-7', 'CLC7', 'OPTA2']"
NUP50,['NPAP60L']
SMARCA1,"['SWI', 'NURF140', 'SNF2L', 'ISWI', 'SNF2LB', 'SNF2L1', 'hSNF2L']"
TMTC1,"['FLJ31400', 'OLF', 'FLJ41625', 'ARG99']"
KRAS,"['K-Ras4B', 'KRAS1', 'KRAS2']"
JPH3,"['TNRC22', 'CAGL237', 'JP-3', 'HDL2', 'JP3']"
CST3,[nan]
DUSP8,"['FLJ42958', 'C11orf81', 'HVH-5', 'HB5']"
SDC3,"['SYND3', 'N-syndecan']"
RGS2,['G0S8']
PHACTR4,"['FLJ13171', 'PPP1R124']"
PDXDC1,['KIAA0251']
CDC25A,[nan]
TGM2,['TGC']
TRIM3,"['RNF97', 'HAC1', 'RNF22', 'BERP']"
TNIP1,"['NAF1', 'ABIN-1', 'KIAA0113', 'VAN']"
ACHE,['YT']
EHHADH,['ECHD']
RPS6KA4,"['MSK2', 'RSK-B']"
TPX2,"['HCA519', 'p100', 'C20orf2', 'FLS353', 'DIL-2', 'C20orf1']"
NOD2,"['CD', 'CLR16.3', 'BLAU', 'IBD1', 'PSORAS1', 'NLRC2', 'CARD15']"
BOD1L1,"['BOD1L', 'KIAA1327', 'FAM44A', 'FLJ33215']"
CHD1,[nan]
ABCD3,"['ZWS2', 'PXMP1', 'PMP70']"
TFCP2,"['CP2', 'LBP-1C', 'TFCP2C', 'LSF']"
IFRD1,"['PC4', 'TIS7']"
PYCR2,['P5CR2']
VIM,[nan]
PCDHGC3,"['PCDH2', 'PCDH-GAMMA-C3', 'PC-43', 'PC43']"
ARL6IP5,"['JWA', 'DERP11', 'Yip6b', 'PRAF3', 'HSPC127', 'GTRAP3-18']"
GLUL,['GLNS']
PCSK1N,"['SgVIII', 'PEN', 'proSAAS', 'SAAS', 'SCG8', 'BigLEN']"
TGFBR2,"['MFS2', 'TBR-ii', 'TBRII']"
SNX6,[nan]
P2RY12,"['SP1999', 'HORK3', 'P2Y12']"
ALAS1,"['ALAS3', 'ALAS']"
CLEC4G,"['LSECTIN', 'UNQ431']"
GAS2L1,['GAR22']
OSBPL1A,"['ORP-1', 'ORP1', 'OSBPL1B']"
HCN2,"['HAC-1', 'BCNG2', 'BCNG-2']"
CRTC2,['TORC2']
ZFYVE28,"['KIAA1643', 'lst-2']"
STIM1,"['D11S4896E', 'GOK']"
CABP1,[nan]
RAB3IP,"['RABIN3', 'FLJ22548', 'RABIN8']"
CALCOCO1,"['Cocoa', 'KIAA1536', 'calphoglin']"
ANKHD1,"['MASK', 'KIAA1085', 'MASK1', 'FLJ11979', 'FLJ10042', 'FLJ14127', 'FLJ20288']"
LHPP,['HDHD2B']
CHMP1A,"['Vps46A', 'CHMP1', 'KIAA0047', 'PCOLN3', 'PRSM1']"
HERPUD1,"['KIAA0025', 'SUP', 'Mif1', 'HERP']"
ADAM9,"['Mltng', 'MCMP', 'KIAA0021', 'CORD9', 'MDC9']"
SUMO3,"['SMT3H1', 'SMT3A']"
TRAF3IP1,"['FAP116', 'DKFZP434F124', 'IFT54', 'MIPT3', 'MIP-T3']"
RGS3,"['C2PA', 'PDZ-RGS3', 'FLJ20370']"
MAP4K5,"['KHS1', 'KHS', 'GCKR']"
STK38,"['NDR', 'NDR1']"
MRPL43,['bMRP36a']
ATP12A,"['H-K-ATPase', 'ATP1AL1', 'HK']"
EPHA8,"['Hek3', 'EEK']"
ABCF1,"['ABC50', 'EST123147']"
PXDN,"['KIAA0230', 'D2S448', 'MG50', 'PXN', 'PRG2', 'D2S448E']"
KIF1C,"['SPG58', 'SAX2', 'SPAX2']"
PRKD2,"['DKFZP586E0820', 'PKD2', 'HSPC187']"
WAS,"['WASPA', 'THC', 'IMD2', 'WASP']"
TNRC6A,"['CAGH26', 'TNRC6', 'GW182', 'KIAA1460']"
PLEKHA1,['TAPP1']
NDUFA5,"['B13', 'UQOR13', 'CI-13kB', 'NUFM', 'CI-13KD-B']"
PAF1,"['FLJ11123', 'PD2', 'F23149_1']"
DZIP3,"['hRUL138', 'PPP1R66']"
PTPRB,['PTPB']
GEMIN5,[nan]
ERG,"['erg-3', 'p55']"
MED12,"['TNRC11', 'Kto', 'HOPA', 'ARC240', 'KIAA0192', 'CAGH45', 'FGS1', 'OPA1', 'OKS', 'TRAP230']"
PFDN2,[nan]
DENND4C,"['bA513M16.3', 'RAB10GEF', 'C9orf55', 'C9orf55B', 'FLJ20686']"
ACAP3,"['KIAA1716', 'CENTB5']"
OSTF1,"['SH3P2', 'bA235O14.1', 'OSF']"
NUB1,"['BS4', 'NYREN18', 'NUB1L']"
NOS3,"['eNOS', 'ECNOS']"
SOCS5,"['CISH6', 'Cish5', 'SOCS-5', 'KIAA0671', 'CIS6']"
AFG3L2,"['SPAX5', 'SCA28']"
MRPL4,['CGI-28']
GTF2F1,"['TF2F1', 'BTF4', 'TFIIF', 'RAP74']"
USP22,"['USP3L', 'KIAA1063']"
AFF2,"['FRAXE', 'FMR2']"
SLAIN2,"['KIAA1458', 'FLJ21611']"
PMS1,"['MLH2', 'PMSL1']"
DNAH1,"['DNAHC1', 'XLHSRF-1', 'HDHC7', 'HL11', 'HL-11']"
DESI1,"['PPPDE2', 'DESI-1', 'D15Wsu75e', 'FAM152B', 'POST']"
PSIP1,"['LEDGF', 'DFS70', 'PSIP2', 'p52', 'p75']"
RRS1,['KIAA0112']
RAG1,"['MGC43321', 'RNF74']"
RAD18,['RNF73']
PHF23,"['MGC2941', 'FLJ16355']"
TOM1L2,[nan]
PIKFYVE,"['PIP5K', 'FAB1', 'ZFYVE29', 'PIP5K3', 'MGC40423', 'p235', 'KIAA0981']"
GPRASP2,"['GASP2', 'FLJ37327', 'bHLHb9', 'ARMCX5-GPRASP2-BHLHB9-LINC00630', 'p60TRP']"
TMEM63B,"['dJ421H19.2', 'C6orf110', 'DKFZp434P0531']"
MAP4K2,"['BL44', 'RAB8IP', 'GCK']"
CDKN1B,"['P27KIP1', 'KIP1']"
COPG2,['2-COP']
PBX3,[nan]
NUDT21,"['CFIM25', 'CPSF5']"
NFX1,"['MGC20369', 'TEG-42', 'Tex42', 'NFX2']"
MYO5B,['KIAA1119']
KCNB1,['Kv2.1']
RFC2,"['A1', 'RFC40']"
FUBP3,['FBP3']
PIGT,[nan]
PDE1A,[nan]
KIAA1109,"['FSA', 'KIAA1371', 'FLJ21404', 'Tweek']"
MSL3,['MSL3L1']
CYTH3,"['PSCD3', 'GRP1', 'ARNO3', 'cytohesin-3']"
JUNB,[nan]
MAN2C1,"['MANA1', 'MANA']"
NOX5,"['NOX5A', 'NOX5B']"
CHD8,"['HELSNF1', 'KIAA1564', 'DUPLIN']"
HEBP1,"['HBP', 'HEBP']"
EIF2S1,"['EIF2A', 'EIF-2alpha', 'EIF2']"
CCND3,[nan]
PCBP3,"['FLJ44028', 'PCBP3OT', 'PCBP3-OT1']"
COL12A1,['COL12A1L']
COG6,"['KIAA1134', 'COD2']"
FOXB1,"['FKH5', 'HFKH-5']"
PITPNM3,"['CORD5', 'ACKR6', 'NIR1', 'RDGBA3']"
CLOCK,"['KAT13D', 'bHLHe8', 'KIAA0334']"
KIT,"['SCFR', 'PBT', 'C-Kit', 'CD117']"
TUBB6,"['MGC4083', 'HsT1601']"
PYGB,[nan]
DMWD,"['D19S593E', 'DMR-N9', 'gene59']"
GNPTG,"['c316G12.3', 'CAB56184', 'GNPTAG', 'C16orf27']"
PPP1R7,['sds22']
SNRPB,"[""Sm-B/B'"", 'COD', ""SmB/SmB'"", 'SNRPB1', 'snRNP-B']"
BZW1,"['KIAA0005', 'BZAP45']"
ECSIT,['SITPEC']
GORASP1,"['P65', 'GRASP65', 'GOLPH5', 'FLJ23443']"
ARPC1B,"['ARC41', 'p41-ARC', 'p40-ARC']"
TMEM230,"['HSPC274', 'C20orf30']"
INCA1,[nan]
FAM98A,['DKFZP564F0522']
HMGCS1,['HMGCS']
SPINT2,"['HAI2', 'Kop', 'HAI-2']"
USE1,"['p31', 'SLT1', 'D12', 'MDS032']"
TMOD1,"['TMOD', 'D9S57E', 'ETMOD']"
EDC3,"['YJDC', 'LSM16', 'YJEFN2', 'FLJ21128', 'hYjeF_N2-15q23']"
IGF2BP1,['IMP-1']
RPS6KA1,"['p90Rsk', 'HU-1', 'MAPKAPK1', 'RSK1']"
GLRA2,['GLR']
JAKMIP1,"['JAMIP1', 'MARLIN1', 'FLJ31564', 'Gababrbp']"
UBE2V1,"['CROC1', 'CROC-1', 'UEV-1', 'UEV1A', 'UBE2V']"
LAPTM4A,"['Mtrp', 'LAPTM4', 'MBNT', 'KIAA0108', 'HUMORF13']"
SH3BP4,[nan]
GGT7,"['dJ18C9.2', 'GGTL3', 'D20S101', 'GGTL5']"
USP4,"['UNP', 'Unph']"
SRCAP,"['SWR1', 'DOMO1', 'KIAA0309', 'EAF1']"
ATIC,"['AICARFT', 'PURH', 'IMPCHASE']"
SF3B6,"['SAP14a', 'Ht006', 'P14', 'CGI-110', 'SF3B14a']"
VAT1,"['VATI', 'FLJ20230']"
NME4,"['NDPKD', 'NM23H4', 'nm23-H4']"
KDM2A,"['FBXL11', 'FBL7', 'FLJ00115', 'KIAA1004', 'JHDM1A', 'DKFZP434M1735', 'CXXC8', 'LILINA', 'FBL11']"
UBE2E3,['UbcH9']
DLGAP2,"['SAPAP2', 'C8orf68', 'ERICH1-AS1', 'DAP-2', 'DAP2']"
FLT3,"['STK1', 'CD135', 'FLK2']"
YTHDC1,"['YT521-B', 'KIAA1966', 'YT521']"
STAMBPL1,"['AMSH-LP', 'AMSH-FP', 'FLJ31524', 'ALMalpha', 'bA399O19.2', 'KIAA1373']"
IDH3B,['RP46']
PLEKHF2,"['PHAFIN2', 'ZFYVE18', 'FLJ13187']"
TANK,"['I-TRAF', 'TRAF2']"
NCAPD2,"['CAP-D2', 'hCAP-D2', 'KIAA0159', 'CNAP1']"
AUP1,[nan]
AGPAT4,"['LPAAT-delta', 'dJ473J16.2']"
HSF2,[nan]
MGMT,[nan]
GRPEL1,"['GrpE', 'hMGE', 'FLJ25609']"
CHGA,"['PHE5', 'PHES']"
CIAO1,"['WDR39', 'CIA1']"
ERCC1,['RAD10']
PCDHA12,['PCDH-ALPHA12']
RNF19A,"['dorfin', 'DKFZp566B1346', 'RNF19']"
ENKD1,"['FBB11', 'DKFZP434A1319', 'C16orf48']"
ANO5,"['GDD1', 'LGMD2L', 'TMEM16E']"
AP3S1,['CLAPS3']
BHLHE40,"['Clast5', 'DEC1', 'SHARP2', 'BHLHB2', 'STRA13']"
FAM20B,"['KIAA0475', 'GXK1']"
NPAS3,"['PASD6', 'MOP6', 'bHLHe12']"
TMX2,"['PDIA12', 'TXNDC14']"
HEATR1,"['BAP28', 'UTP10', 'FLJ10359']"
SEC13,"['SEC13L1', 'SEC13R', 'D3S1231E', 'npp-20']"
SNX2,[nan]
DNAJB11,"['ERdj3', 'EDJ', 'HEDJ']"
DNAJC10,"['PDIA19', 'ERdj5']"
KXD1,"['C19orf50', 'BORCS4', 'FLJ25480', 'KXDL', 'MGC2749']"
TMEM120B,[nan]
EPHB3,"['ETK2', 'Hek2', 'Tyro6']"
NDC80,"['HEC1', 'HEC', 'TID3', 'hsNDC80', 'KNTC2']"
ZMYND8,"['PRKCBP1', 'RACK7']"
AKR1B1,"['AR', 'ALDR1']"
NGRN,['DSC92']
GAD2,['GAD65']
PTOV1,[nan]
AIP,"['FKBP16', 'FKBP37', 'ARA9', 'XAP2']"
PLA2G4A,"['cPLA2-alpha', 'PLA2G4']"
TRA2A,"['AWMS1', 'htra-2-alpha']"
STX5,"['STX5A', 'SED5']"
KRT40,"['KA36', 'FLJ36600']"
HSPA6,"[""HSP70B'""]"
RIC8A,"['synembryn-A', 'synembryn']"
NPM2,[nan]
MAP2K3,"['PRKMK3', 'MKK3', 'MEK3', 'MAPKK3']"
CISD2,"['Miner1', 'ZCD2', 'ERIS', 'NAF-1', 'WFS2']"
THOC3,"['TEX1', 'MGC5469']"
TBCB,"['CG22', 'CKAPI', 'CKAP1']"
LYST,"['CHS1', 'CHS', 'Mauve']"
KLHL12,['C3IP1']
ALCAM,"['CD166', 'MEMD']"
KIDINS220,['ARMS']
RYBP,"['YEAF1', 'APAP-1', 'AAP1', 'DEDAF']"
RGS6,[nan]
UNC45A,"['GC-UNC45', 'SMAP-1']"
CLUH,"['CLU1', 'KIAA0664']"
SATB2,"['FLJ21474', 'KIAA1034']"
SRSF4,"['SFRS4', 'SRP75']"
DDA1,"['PCIA1', 'C19orf58', 'MGC2594']"
ABLIM3,['KIAA0843']
SENP2,"['KIAA1331', 'AXAM2', 'SMT3IP2', 'DKFZp762A2316']"
ACTR1A,"['ARP1', 'Arp1A']"
TMCC2,"['FLJ38497', 'HUCEP11']"
LSG1,['FLJ11301']
TULP3,['TUBL3']
PSMB4,"['HN3', 'PROS26']"
ORC4,"['ORC4L', 'HsORC4', 'Orc4p']"
ZMAT3,"['PAG608', 'MGC10613', 'WIG1', 'WIG-1', 'FLJ12296']"
PTMS,['ParaT']
EFS,"['HEFS', 'CASS3', 'SIN', 'EFS1', 'EFS2']"
RPS6KL1,"['MGC11287', 'RSKL2']"
SLIRP,"['DC50', 'C14orf156']"
LRSAM1,"['CMT2P', 'RIFLE', 'TAL', 'FLJ31641']"
BMP2K,"['DKFZp434K0614', 'BIKe']"
LSR,"['ILDR3', 'LISCH7']"
GALR1,"['GALNR', 'GALNR1']"
PGP,[nan]
PLLP,"['TM4SF11', 'PMLP']"
MDH2,[nan]
ZIC1,"['ZNF201', 'ZIC']"
GLRX3,"['GRX3', 'TXNL2', 'GLRX4', 'PICOT', 'GRX4', 'bA500G10.4']"
MRPS9,"['RPMS9', 'S9mt', 'MRP-S9']"
CCNB1,['CCNB']
ARCN1,['COPD']
ARFIP2,['POR1']
PSMB7,['Z']
CYC1,['UQCR4']
CALD1,"['H-CAD', 'L-CAD', 'CDM']"
RCN2,"['E6BP', 'ERC-55', 'TCBP49', 'ERC55']"
ATAT1,"['FLJ13158', 'MEC17', 'Em:AB023049.7', 'C6orf134']"
FAM3C,"['ILEI', 'GS3876']"
RNF8,['KIAA0646']
POLR2C,['RPB3']
ROCK2,[nan]
PGBD5,"['DKFZp761A0620', 'FLJ11413']"
DDX58,"['FLJ13599', 'RIG-1', 'DKFZp434J1111', 'RIG1', 'RIG-I']"
MTMR4,"['ZFYVE11', 'KIAA0647']"
SNRPD2,"['Sm-D2', 'SNRPD1']"
GLRX2,"['GRX2', 'bA101E13.1']"
KAT6A,"['RUNXBP2', 'MOZ', 'ZNF220', 'MYST3', 'ZC2HC6A']"
PDIA4,"['ERP72', 'ERP70']"
PTK7,['CCK4']
SHOC2,"['SOC2', 'SUR8', 'SOC-2', 'SUR-8', 'KIAA0862']"
RANBP6,[nan]
FGF1,"['HBGF1', 'ECGF-beta', 'GLIO703', 'FGFA', 'ECGFA', 'AFGF', 'ECGFB', 'ECGF', 'FGF-alpha']"
TUBGCP4,"['FLJ14797', '76P']"
SRSF10,"['SRrp40', 'SRp38', 'PPP1R149', 'SFRS13', 'FUSIP1', 'TASR1', 'TASR2', 'FUSIP2', 'SFRS13A']"
UBXN6,"['UBXDC2', 'UBXD1']"
MED13L,"['KIAA1025', 'TRAP240L', 'THRAP2']"
SEZ6L2,"['FLJ90517', 'PSK-1']"
FTO,"['KIAA1752', 'MGC5149', 'ALKBH9']"
PPIP5K1,"['IPS1', 'VIP1', 'KIAA0377', 'HISPPD2A']"
GPR158,['KIAA1136']
RCOR1,"['RCOR', 'KIAA0071', 'COREST']"
IPO11,['RanBP11']
GPRIN1,"['GRIN1', 'KIAA1893']"
FBXO31,"['MGC15419', 'Fbx31', 'FBX14', 'FBXO14']"
DENND5B,['MGC24039']
TBC1D9,"['MDR1', 'KIAA0882', 'GRAMD9']"
ARF4,['ARF2']
NUMBL,"['NUMBR', 'NUMB-R', 'CAG3A', 'TNRC23', 'NUMBLIKE', 'CTG3a']"
ARL13B,"['JBTS8', 'DKFZp761H079', 'ARL2L1']"
GNB4,[nan]
PPP6C,['PP6']
GOLGA5,"['GOLIM5', 'golgin-84', 'rfg5', 'ret-II']"
CCDC124,"['oxs1', 'Lso2']"
THRB,"['THRB1', 'GRTH', 'THR1', 'NR1A2', 'ERBA2', 'ERBA-BETA', 'TRbeta', 'PRTH', 'THRB2']"
CBX4,"['PC2', 'hPC2', 'NBP16']"
ANGEL1,"['Ccr4e', 'KIAA0759']"
ATP7A,['MNK']
PPP6R1,"['KIAA1115', 'SAP190', 'SAPS1']"
SCAMP3,['C1orf3']
TPCN2,['TPC2']
KATNAL2,"['DKFZP667C165', 'MGC33211']"
ZC3H14,"['UKp68', 'FLJ11806', 'NY-REN-37']"
B4GALNT1,"['SPG26', 'GALGT', 'beta1-4GalNAc-T']"
TPT1,"['TCTP', 'fortilin']"
DUSP3,['VHR']
XK,"[nan, 'X1k', 'NAC', 'XKR1', 'Kx']"
CDH22,"['dJ998H6.1', 'C20orf25']"
PLXNA3,"['Plxn3', 'SEX', '6.3', 'PLXN4', 'XAP-6']"
VPS28,[nan]
DCBLD2,"['ESDN', 'CLCP1']"
UBE2E1,['UbcH6']
ATG7,"['APG7L', 'GSA7', 'DKFZp434N0735']"
RAB4B,"['MGC52123', 'FLJ78649']"
AHI1,"['FLJ20069', 'ORF1', 'JBTS3']"
PHACTR1,"['RPEL1', 'dJ257A7.2', 'KIAA1733']"
FAM126B,"['HYCC2', 'MGC39518']"
CCDC47,['GK001']
TTK,"['CT96', 'MPS1L1', 'MPS1', 'MPH1']"
RASGRF2,"['Ras-GRF2', 'GRF2']"
TNFAIP1,"['MGC2317', 'BTBD34', 'B61', 'EDP1', 'B12']"
SPAG7,"['FSA-1', 'MGC20134', 'ACRP']"
TICRR,"['MGC45866', 'FLJ41618', 'C15orf42', 'Treslin', 'SLD3']"
BRPF1,['BR140']
RRAS,['R-Ras']
CAT,[nan]
TES,"['DKFZP586B2022', 'TESTIN', 'TESS-2']"
KDM5C,"['MRX13', 'JARID1C', 'DXS1272E', 'XE169', 'SMCX']"
TBC1D17,['FLJ12168']
MAP3K13,"['MEKK13', 'LZK']"
SLC1A1,"['EAAT3', 'EAAC1']"
CEP55,"['CT111', 'FLJ10540', 'C10orf3']"
SRSF6,"['B52', 'SRP55', 'SFRS6']"
SMAD1,"['MADH1', 'MADR1', 'JV4-1']"
CCAR1,"['FLJ10590', 'CARP1', 'CARP-1']"
ZBTB11,"['ZNF913', 'ZNF-U69274']"
OSBPL9,[nan]
RAB4A,"['HRES-1/RAB4', 'RAB4']"
PVR,"['NECL5', 'HVED', 'Necl-5', 'PVS', 'Tage4', 'CD155']"
ELK1,[nan]
SLC35B4,"['YEA4', 'FLJ14697']"
ITGB2,"['MFI7', 'CD18', 'LFA-1', 'MAC-1']"
THBS3,[nan]
ARID4A,"['RBP1', 'RBP-1', 'RBBP1']"
IL6ST,"['sGP130', 'GP130', 'CD130', 'IL-6RB']"
FUBP1,"['FUBP', 'FBP']"
CLK3,[nan]
GPS1,"['CSN1', 'COPS1']"
WWTR1,"['TAZ', 'DKFZp586I1419']"
LYPD3,['C4.4A']
DERL1,"['DER1', 'FLJ13784', 'derlin-1', 'DER-1', 'MGC3067', 'PRO2577']"
ADAMTS4,"['ADAMTS-2', 'ADMP-1', 'KIAA0688']"
PCDHAC1,[nan]
SLC23A2,"['YSPL2', 'SVCT2', 'SLC23A1', 'KIAA0238']"
MAN2A2,"['HsT19662', 'MANA2X']"
GADD45GIP1,"['Plinp1', 'PLINP-1', 'CRIF1', 'PRG6', 'MGC4758', 'CKBBP2', 'MGC4667', 'CKbetaBP2']"
ACAD10,['MGC5601']
HMOX1,"['HO-1', 'bK286B10']"
CHMP3,"['NEDF', 'VPS24', 'CGI-149']"
C6,[nan]
CSMD3,[nan]
SCN5A,"['HBBD', 'ICCD', 'SSS1', 'CMPD2', 'LQT3', 'HB1', 'IVF', 'Nav1.5', 'CDCD2', 'PFHB1', 'CMD1E', 'HB2', 'HH1']"
OPRK1,"['OPRK', 'KOR']"
VIPR2,"['VPAC2R', 'VPAC2']"
DUT,['dUTPase']
MCL1,"['Mcl-1', 'BCL2L3']"
TRA2B,"['Htra2-beta', 'SFRS10', 'PPP1R156']"
TLE1,"['ESG', 'GRG1', 'ESG1']"
UPF2,"['RENT2', 'KIAA1408', 'smg-3', 'DKFZP434D222']"
DYNLT1,"['TCTEL1', 'Tctex-1', 'TCTEX1']"
MYH15,['KIAA1000']
CPSF1,['CPSF160']
SUGP2,"['SFRS14', 'KIAA0365']"
HDAC3,"['KDAC3', 'RPD3-2', 'HD3', 'RPD3']"
DRG1,['NEDD3']
FBXO41,"['KIAA1940', 'Fbx41']"
EIF4E1B,['FLJ36951']
VPS36,"['Eap45', 'CGI-145', 'C13orf9']"
KCNS2,['Kv9.2']
ZCCHC17,"['pNO40', 'PS1D', 'HSPC251']"
RPS6KA6,['RSK4']
DAAM1,['KIAA0666']
CERK,"['hCERK', 'dA59H18.3', 'DKFZp434E0211', 'FLJ23239', 'FLJ21430', 'KIAA1646', 'dA59H18.2', 'LK4']"
SLC1A5,"['RDRC', 'M7V1', 'AAAT', 'ASCT2']"
AHCY,['SAHH']
BAG1,[nan]
CD47,"['IAP', 'MER6', 'OA3']"
DCN,"['SLRR1B', 'DSPG2']"
BANF1,['BAF']
TNFAIP3,"['A20', 'OTUD7C']"
RRAGD,"['bA11D8.2.1', 'DKFZP761H171']"
SLC25A39,"['CGI-69', 'FLJ22407']"
DKC1,"['Cbf5', 'DKC', 'dyskerin', 'NOLA4', 'XAP101', 'NAP57']"
VMP1,"['TMEM49', 'TANGO5', 'EPG3']"
PLEKHG5,"['Syx', 'GEF720', 'Tech', 'KIAA0720']"
CHD7,"['CRG', 'FLJ20357', 'FLJ20361', 'KIAA1416']"
ADRA1B,[nan]
COX6B1,"['COX6B', 'COXG']"
SAV1,"['WW45', 'WWP4', 'salvador']"
AQP1,"['CHIP28', 'CO']"
F2R,"['TR', 'PAR-1', 'PAR1', 'CF2R']"
REEP4,"['Yip2c', 'C8orf20', 'FLJ22277', 'PP432', 'FLJ22246']"
GSTK1,['GST13']
TOR1AIP1,"['FLJ13142', 'LAP1B', 'LAP1C', 'LAP1']"
PAK6,['PAK5']
DHX16,"['Prp2', 'DBP2', 'PRPF2', 'DDX16']"
AKTIP,"['FLJ13258', 'FTS']"
LRRC59,"['FLJ21675', 'PRO1855']"
PDE4B,['DPDE4']
DIXDC1,"['Dixin', 'KIAA1735']"
RRP7A,"['CGI-96', 'Rrp7']"
NINL,"['KIAA0980', 'NLP']"
FNIP1,['KIAA1961']
RTKN,['B5']
ZMIZ1,"['RP11-519K18.1', 'Zimp10', 'KIAA1224', 'RAI17', 'hZIMP10', 'MIZ', 'FLJ13541']"
CEP76,"['C18orf9', 'FLJ12542', 'HsT1705']"
GMCL1,"['BTBD13', 'FLJ13057', 'SPATA29', 'GCL1']"
HACE1,['KIAA1320']
BAP1,"['UCHL2', 'hucep-6', 'KIAA0272']"
FRMD6,"['C14orf31', 'EX1', 'MGC17921', 'willin']"
SAMD1,[nan]
NDN,"['PWCR', 'HsT16328']"
VDR,"['NR1I1', 'PPP1R163']"
ARNTL2,"['PASD9', 'bHLHe6', 'BMAL2', 'MOP9', 'CLIF']"
TCF25,"['Nulp1', 'KIAA1049']"
CHI3L1,"['GP39', 'YK-40', 'YKL40']"
PHLDA3,['TIH1']
CARM1,['PRMT4']
KIF3B,"['KIAA0359', 'FLA8', 'KLP-11']"
CAMKMT,"['CLNMT', 'C2orf34']"
SPIN3,['TDRD27']
SETD2,"['KMT3A', 'HYPB', 'FLJ23184', 'HIF-1', 'KIAA1732']"
SMU1,"['BWD', 'fSAP57', 'FLJ10805', 'SMU-1']"
AASS,"['LKRSDH', 'LORSDH']"
DAZAP1,['MGC19907']
SNRPC,"['Yhc1', 'U1-C']"
SPHK2,[nan]
DENND1A,"['KIAA1608', 'FLJ21129', 'FAM31A']"
ZMYM2,"['FIM', 'RAMP', 'MYM', 'ZNF198']"
ERF,"['PE-2', 'PE2']"
CAMSAP2,"['CAMSAP1L1', 'KIAA1078']"
FBXL5,"['FBL5', 'FLR1', 'FBL4']"
MAP7,['E-MAP-115']
MMGT1,"['EMC5', 'TMEM32']"
PPP2R5D,"['B56D', 'B56delta']"
DYNC2H1,"['DHC2', 'DHC1b', 'DYH1B', 'hdhc11', 'DNCH2']"
KIAA1217,"['SKT', 'ETL4', 'DKFZP761L0424']"
DOK1,['p62dok']
MAP2K2,"['MEK2', 'PRKMK2']"
SLC2A6,"['GLUT9', 'GLUT6', 'HSA011372']"
GPR52,[nan]
CLIP4,"['RSNL2', 'FLJ21069']"
DCLK2,"['DCAMKL2', 'MGC45428', 'DCK2', 'DCDC3', 'DCDC3B']"
EGR4,"['PAT133', 'NGFI-C']"
ANTXR1,"['ATR', 'FLJ10601', 'TEM8', 'FLJ21776']"
GOT2,"['KATIV', 'KYAT4', 'KAT4', 'mitAAT']"
MAPK11,"['PRKM11', 'SAPK2', 'p38Beta', 'p38-2']"
CHFR,"['RNF196', 'FLJ10796']"
ZC3H3,"['ZC3HDC3', 'KIAA0150']"
TBXA2R,[nan]
MEGF11,"['KIAA1781', 'DKFZp434L121']"
REEP1,"['Yip2a', 'FLJ13110', 'SPG31', 'C2orf23']"
DDX39B,"['UAP56', 'D6S81E', 'BAT1']"
AKAP6,"['PRKA6', 'AKAP100', 'ADAP6', 'KIAA0311', 'mAKAP']"
PAX7,['Hup1']
NPDC1,"['CAB1', 'DKFZp586J0523', 'CAB-']"
PSMD12,"['Rpn5', 'p55']"
WDR6,[nan]
NT5C2,"['NT5B', 'SPG65', 'SPG45', 'GMP', 'cN-II', 'PNT5']"
FRAS1,"['FLJ14927', 'KIAA1500', 'FLJ22031']"
CREM,['hCREM-2']
MKLN1,['TWA2']
MFSD8,"['CLN7', 'MGC33302']"
UBE4B,"['E4', 'UBOX3', 'KIAA0684', 'UFD2']"
CBFB,['PEBP2B']
CCDC50,"['DFNA44', 'C3orf6', 'Ymer']"
PDE4A,['DPDE2']
SYT9,[nan]
BUB1,"['hBUB1', 'BUB1A', 'BUB1L']"
PFDN4,"['C1', 'PFD4', 'C-1']"
SH3PXD2A,"['KIAA0418', 'FISH', 'SH3MD1']"
SLC39A12,['FLJ30499']
ZNF581,"['FLJ22550', 'HSPC189']"
KCTD2,['KIAA0176']
CACNB2,"['CACNLB2', 'MYSB']"
AAMP,[nan]
DENND4A,"['MYCPBP', 'IRLB']"
TMED2,"['p24b1', 'P24A', 'p24beta1', 'RNP24']"
DDX27,"['DRS1', 'dJ686N3.1']"
PARP2,"['ADPRTL2', 'ARTD2']"
CIC,['KIAA0306']
SMG6,"['SMG-6', 'EST1A', 'C17orf31', 'KIAA0732']"
ETV6,['TEL']
VPS26A,"['Hbeta58', 'PEP8A', 'VPS26']"
RNGTT,"['hCAP', 'HCE', 'HCE1']"
